sample,species,biosample,pod5,assembly
ATCC_10708__202309,Salmonella enterica,SAMN38321309,10.26188/25521883,CP149507-CP149508
ATCC_17802__202309,Vibrio parahaemolyticus,SAMN38321311,10.26188/25495063,CP149505-CP149506
ATCC_25922__202309,Escherichia coli,SAMN38321313,10.26188/25521892,CP149500-CP149504
ATCC_33560__202309,Campylobacter jejuni,SAMN38321314,10.26188/25495054,CP149499
ATCC_35221__202309,Campylobacter lari,SAMN38321315,10.26188/25493905,CP149498
ATCC_19119__202309,Listeria ivanovii,SAMN38321312,10.26188/25495057,CP149497
ATCC_35897__202309,Listeria welshimeri,SAMN38321316,10.26188/25495081,CP149496
ATCC_BAA-679__202309,Listeria monocytogenes,SAMN38321317,10.26188/25495069,CP149495
BPH2947__202310,Staphylococcus aureus,SAMN40453078,10.26188/25495075,CP149492-CP149494
AJ292__202310,Klebsiella variicola,SAMN40453079,10.26188/25495048,CP149491
KPC2__202310,Klebsiella pneumoniae,SAMN40453080,10.26188/25495078,CP149487-CP149490
RDH275__202311,Streptococcus pyogenes,SAMN40453081,10.26188/25495072,CP149486
MMC234__202311,Streptococcus dysgalactiae,SAMN40453082,10.26188/25495066,CP149485
AMtb_1__202402,Mycobacterium tuberculosis,SAMN40453083,10.26188/25495045,CP149484
